form,exp,type,geozone,date,stemp,btemp,btime,start,visib,maxdepth,current,habitat,species,abundance,year,as_as_date,quarter_year,lat,lon,lat2,lon2,state,semester,abundance2,maxsst30,maxsst60,maxsst90,maxsst180,maxsst360,maxanom30,maxanom60,maxanom90,maxanom180,maxanom360,maxsst30_days,maxsst60_days,maxsst90_days,maxsst180_days,maxsst360_days,maxanom30_days,maxanom60_days,maxanom90_days,maxanom180_days,maxanom360_days
5024016,N,2,41150106,5/30/09,0,52,32,9,3,7,2,8,173,1,2009,5/30/09,Q2.2009,36 29.34,-121 57.26,36.29340,-121.57260,CA,1.2009,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5124913,N,2,13340007,4/23/17,61,46,30,11,2,6,3,9,173,0,2017,4/23/17,Q2.2017,49 18.105,-124 10.199,49.18105,-124.10199,BC,1.2017,0,10.29,10.29,10.29,11.30,21.65,0.05,0.17,1.21,1.88,5.53,1,1,1,165,271,22,50,83,165,271
5025806,N,2,24020001,7/26/09,0,0,51,14,3,5,2,2,173,3,2009,7/26/09,Q3.2009,48 09.45,-122 40.26,48.09450,-122.40260,WA,2.2009,11,14.24,14.24,14.24,14.24,14.24,1.81,1.81,1.81,1.81,2.03,2,2,2,2,2,2,2,2,2,318
5023667,N,2,41140611,5/26/09,55,50,54,10,2,4,3,1,173,2,2009,5/26/09,Q2.2009,36 31.38,-121 56.38,36.31380,-121.56380,CA,1.2009,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43505,N,2,13650101,2/22/07,57,55,30,13,2,13,3,12,173,3,2007,2/22/07,Q1.2007,49 22.20,-123 17.60,49.22200,-123.17600,BC,1.2007,11,6.97,7.32,8.29,16.79,19.25,0.33,0.39,0.60,2.20,3.51,2,59,89,166,208,7,46,70,148,232
50068,N,2,12090602,5/27/06,0,0,30,13,2,8,2,2,173,2,2006,5/27/06,Q2.2006,48 56.35,-125 13.14,48.56350,-125.13140,BC,1.2006,2,11.57,11.57,11.57,11.57,15.95,0.34,0.34,0.62,2.28,2.96,11,11,11,11,296,12,12,85,130,296
5034788,N,2,41140224,6/11/10,0,48,25,11,1,6,2,11,173,1,2010,6/11/10,Q2.2010,36 37.044,-121 53.762,36.37044,-121.53762,CA,1.201,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5023732,N,2,41150301,5/29/09,54,50,38,10,2,11,2,8,173,2,2009,5/29/09,Q2.2009,36 27.37,-121 56.22,36.27370,-121.56220,CA,1.2009,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59480,N,2,41140255,7/12/08,0,0,60,11,2,6,3,1,173,1,2008,7/12/08,Q3.2008,36 37.65,-121 54.98,36.37650,-121.54980,CA,2.2008,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54358,N,2,12092201,3/15/07,0,47,37,10,2,7,3,1,173,1,2007,3/15/07,Q1.2007,48 56.36,-125 16.36,48.56360,-125.16360,BC,1.2007,1,8.34,8.84,9.34,13.75,15.05,0.36,1.00,1.15,1.75,2.27,0,55,72,169,193,25,55,72,169,192
5103722,N,2,41140611,9/16/15,0,61,41,7,2,6,3,1,173,0,2015,9/16/15,Q3.2015,36 31.38,-121 56.38,36.31380,-121.56380,CA,2.2015,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5046142,N,2,42070209,5/14/11,0,50,45,10,1,12,2,2,173,0,2011,5/14/11,Q2.2011,32 39.122,-117 15.747,32.39122,-117.15747,CA,1.2011,0,17.34,17.34,17.34,17.34,20.06,0.52,0.52,0.52,0.52,0.52,7,7,7,7,269,15,15,15,15,15
5034453,N,2,42020324,5/23/10,0,50,50,12,3,5,2,2,173,1,2010,5/23/10,Q2.2010,34 03.35,-119 45.29,34.03350,-119.45290,CA,1.201,1,13.68,15.02,15.02,16.57,19.78,-0.81,0.68,0.78,1.07,1.25,25,33,33,178,247,25,33,81,132,247
5050394,N,2,23304006,8/21/11,68,50,58,13,2,9,3,12,173,3,2011,8/21/11,Q3.2011,47 26.057,-123 07.184,47.26057,-123.07184,WA,2.2011,11,14.00,14.00,14.00,14.00,14.00,1.15,1.15,1.15,1.15,1.27,23,23,23,23,23,23,23,23,23,324
5091020,N,2,13650109,10/18/14,52,46,35,11,3,6,2,1,173,0,2014,10/18/14,Q4.2014,49 26.989,-123 14.408,49.26989,-123.14408,BC,2.2014,0,16.50,19.54,21.00,21.00,21.00,2.93,3.87,4.62,4.62,4.62,26,52,74,74,74,26,52,74,74,74
5111607,N,2,12091101,5/22/16,0,48,62,12,2,12,3,9,173,0,2016,5/22/16,Q2.2016,49 09.005,-124 47.486,49.09005,-124.47486,BC,1.2016,0,12.53,12.53,12.53,12.78,18.23,0.75,0.96,1.38,4.54,4.54,8,8,8,179,293,8,51,77,161,161
50061,N,2,12090601,5/27/06,0,0,30,11,2,7,2,2,173,2,2006,5/27/06,Q2.2006,48 57.10,-125 11.50,48.57100,-125.11500,BC,1.2006,2,11.57,11.57,11.57,11.57,15.95,0.34,0.34,0.62,2.28,2.96,11,11,11,11,296,12,12,85,130,296
5107282,N,2,12091101,1/3/16,0,50,72,15,3,5,3,11,173,0,2016,1/3/16,Q1.2016,49 09.005,-124 47.486,49.09005,-124.47486,BC,1.2016,0,12.76,13.59,14.54,18.23,18.23,4.54,4.54,4.54,4.54,4.70,25,59,89,153,153,21,21,21,21,343
5106892,N,2,13650109,12/13/15,50,46,50,11,2,6,3,11,173,1,2015,12/13/15,Q4.2015,49 26.989,-123 14.408,49.26989,-123.14408,BC,2.2015,1,9.76,12.96,15.20,20.64,20.64,1.38,2.04,2.04,4.32,4.32,29,58,86,135,135,5,58,58,135,135
5119296,E,2,13340004,11/6/16,0,52,60,12,4,6,3,11,173,0,2016,11/6/16,Q4.2016,49 17.42,-124 08.45,49.17420,-124.08450,BC,2.2016,0,12.48,15.96,18.78,21.65,21.65,1.12,1.46,2.52,5.53,5.53,28,54,86,103,103,2,51,71,103,103
5034450,N,2,42020305,5/22/10,0,51,49,15,2,3,2,2,173,0,2010,5/22/10,Q2.2010,34 02.03,-119 42.04,34.02030,-119.42040,CA,1.201,0,13.68,15.02,15.02,16.57,19.78,-0.81,0.68,0.78,1.07,1.25,24,32,32,177,246,24,32,80,131,246
5023730,N,2,41140516,5/28/09,54,50,36,7,3,10,2,1,173,0,2009,5/28/09,Q2.2009,36 32.603,-121 56.368,36.32603,-121.56368,CA,1.2009,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5123893,E,2,27010101,3/23/17,0,0,44,15,2,5,3,9,173,2,2017,3/23/17,Q1.2017,48 08.25,-122 45.67,48.08250,-122.45670,WA,1.2017,2,8.24,8.24,8.80,13.19,16.45,0.21,0.77,1.09,2.34,4.51,0,0,85,177,208,29,58,62,134,313
5076919,E,2,12090904,6/1/13,64,52,60,11,2,3,2,2,173,4,2013,6/1/13,Q2.2013,48 58.118,-125 01.387,48.58118,-125.01387,BC,1.2013,101,11.59,11.59,11.59,11.59,14.23,0.77,0.77,0.77,1.50,1.50,6,6,6,6,288,25,25,25,161,161
5064929,N,2,13550102,10/26/12,55,50,51,15,4,9,3,2,173,3,2012,10/26/12,Q4.2012,49 37.329,-124 03.658,49.37329,-124.03658,BC,2.2012,11,14.94,16.65,19.94,20.26,20.26,1.73,1.73,3.73,4.38,4.38,28,56,69,105,105,28,28,69,105,105
5092752,N,2,13340004,12/21/14,0,0,60,10,3,9,3,2,173,2,2014,12/21/14,Q4.2014,49 17.42,-124 08.45,49.17420,-124.08450,BC,2.2014,2,9.67,11.84,15.98,20.88,20.88,1.43,1.43,3.16,4.71,4.71,28,59,89,144,144,0,0,72,144,144
5050393,N,2,23304005,8/21/11,68,50,47,10,2,9,3,2,173,3,2011,8/21/11,Q3.2011,47 26.167,-123 07.189,47.26167,-123.07189,WA,2.2011,11,14.00,14.00,14.00,14.00,14.00,1.15,1.15,1.15,1.15,1.27,23,23,23,23,23,23,23,23,23,324
56948,N,2,22100011,7/29/06,0,51,43,14,2,9,2,12,173,2,2006,7/29/06,Q3.2006,48 35.468,-122 55.720,48.35468,-122.55720,WA,2.2006,2,12.80,12.80,12.80,12.80,14.65,NaN,NaN,NaN,NaN,NaN,28,28,28,28,349,29,59,89,179,359
5036345,N,2,41140211,7/23/10,66,54,40,12,3,5,2,12,173,2,2010,7/23/10,Q3.2010,36 36.62,-121 53.52,36.36620,-121.53520,CA,2.201,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5056241,N,2,42070217,3/10/12,0,53,40,10,2,11,3,2,173,0,2012,3/10/12,Q1.2012,32 40.949,-117 16.253,32.40949,-117.16253,CA,1.2012,0,14.99,14.99,15.12,18.88,20.84,0.19,0.19,0.19,0.19,1.75,26,26,89,169,248,26,26,26,26,248
5034632,N,2,41140621,3/14/10,0,0,35,11,3,6,2,2,173,0,2010,3/14/10,Q1.2010,36 31.27,-121 56.62,36.31270,-121.56620,CA,1.201,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5034630,N,2,41140621,3/14/10,0,48,31,9,3,6,2,2,173,2,2010,3/14/10,Q1.2010,36 31.27,-121 56.62,36.31270,-121.56620,CA,1.201,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5100626,N,2,13350001,7/14/15,50,0,62,12,3,6,3,11,173,2,2015,7/14/15,Q3.2015,49 18.835,-124 14.497,49.18835,-124.14497,BC,2.2015,2,19.66,19.66,19.66,19.66,20.88,4.35,5.30,5.30,5.30,5.30,14,14,14,14,349,14,45,45,45,45
5023734,N,2,41150206,5/29/09,54,50,40,12,2,8,2,11,173,0,2009,5/29/09,Q2.2009,36 28.680,-121 56.524,36.28680,-121.56524,CA,1.2009,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5034451,N,2,42020324,5/23/10,0,50,50,9,2,3,2,2,173,1,2010,5/23/10,Q2.2010,34 03.35,-119 45.29,34.03350,-119.45290,CA,1.201,1,13.68,15.02,15.02,16.57,19.78,-0.81,0.68,0.78,1.07,1.25,25,33,33,178,247,25,33,81,132,247
5056684,N,2,13590101,3/28/12,0,0,28,11,3,8,2,2,173,3,2012,3/28/12,Q1.2012,49 33.80,-123 46.45,49.33800,-123.46450,BC,1.2012,11,7.40,7.40,7.40,12.82,19.15,-0.32,0.11,0.14,0.40,3.20,0,0,0,179,220,13,44,63,169,212
5025987,N,2,41140516,8/1/09,0,53,46,9,2,7,2,11,173,2,2009,8/1/09,Q3.2009,36 32.603,-121 56.368,36.32603,-121.56368,CA,2.2009,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5034448,N,2,42020305,5/21/10,0,51,33,9,2,3,2,2,173,0,2010,5/21/10,Q2.2010,34 02.03,-119 42.04,34.02030,-119.42040,CA,1.201,0,13.73,15.02,15.02,16.57,19.78,-0.65,0.68,0.78,1.07,1.25,29,31,31,176,245,29,31,79,130,245
5034452,N,2,42020324,5/23/10,0,50,54,10,2,3,2,2,173,0,2010,5/23/10,Q2.2010,34 03.35,-119 45.29,34.03350,-119.45290,CA,1.201,0,13.68,15.02,15.02,16.57,19.78,-0.81,0.68,0.78,1.07,1.25,25,33,33,178,247,25,33,81,132,247
5034449,N,2,42020305,5/22/10,0,51,53,12,2,3,2,2,173,0,2010,5/22/10,Q2.2010,34 02.03,-119 42.04,34.02030,-119.42040,CA,1.201,0,13.68,15.02,15.02,16.57,19.78,-0.81,0.68,0.78,1.07,1.25,24,32,32,177,246,24,32,80,131,246
5048652,N,2,12090807,7/6/11,60,52,50,10,2,4,2,2,173,0,2011,7/6/11,Q3.2011,48 50.59,-125 07.87,48.50590,-125.07870,BC,2.2011,0,12.96,12.96,12.96,12.96,15.41,0.26,0.58,0.58,1.15,2.40,0,0,0,0,323,0,31,31,169,323
5114743,N,2,41140255,7/9/16,0,50,69,13,2,5,3,1,173,0,2016,7/9/16,Q3.2016,36 37.65,-121 54.98,36.37650,-121.54980,CA,2.2016,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43506,N,2,26140004,2/25/07,55,53,36,10,2,9,3,11,173,2,2007,2/25/07,Q1.2007,47 27.13,-122 22.78,47.27130,-122.22780,WA,1.2007,2,7.99,8.53,9.72,13.43,14.16,0.32,0.32,0.33,1.32,1.63,1,59,89,176,203,1,1,72,151,245
5023757,N,2,41140512,5/30/09,55,52,42,12,3,8,2,1,173,1,2009,5/30/09,Q2.2009,36 33.626,-121 56.701,36.33626,-121.56701,CA,1.2009,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57949,N,2,41140255,7/12/08,0,58,25,9,2,4,2,1,173,1,2008,7/12/08,Q3.2008,36 37.65,-121 54.98,36.37650,-121.54980,CA,2.2008,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5016962,N,2,42020426,7/29/08,63,0,20,12,3,6,3,1,173,0,2008,7/29/08,Q3.2008,34 00.70,-119 21.71,34.00700,-119.21710,CA,2.2008,0,19.22,19.22,19.22,19.22,19.35,1.18,1.84,1.84,1.84,1.84,2,2,2,2,358,29,38,38,38,38
5046511,N,2,26210005,5/15/11,50,48,60,18,2,3,1,2,173,2,2011,5/15/11,Q2.2011,47 14.81,-122 33.22,47.14810,-122.33220,WA,1.2011,2,10.16,10.16,10.16,10.17,14.46,-0.17,-0.17,0.14,0.45,1.44,3,3,3,179,282,12,12,87,118,312
5045735,N,2,42020305,3/21/11,0,53,24,20,3,4,3,1,173,2,2011,3/21/11,Q1.2011,34 02.03,-119 42.04,34.02030,-119.42040,CA,1.2011,2,13.16,14.07,14.08,18.32,18.32,-1.01,-0.18,-0.18,0.30,0.82,16,52,86,169,169,16,52,52,137,279
5056213,N,2,42070201,3/11/12,65,50,29,12,2,8,2,8,173,0,2012,3/11/12,Q1.2012,32 41.588,-117 16.196,32.41588,-117.16196,CA,1.2012,0,14.99,14.99,14.99,18.88,20.84,0.19,0.19,0.19,0.19,1.75,27,27,27,170,249,27,27,27,27,249
5067335,N,2,41140651,1/12/13,65,50,20,10,5,14,3,12,173,1,2013,1/12/13,Q1.2013,36 31.660,-121 57.092,36.31660,-121.57092,CA,1.2013,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5043236,N,2,42060308,2/22/11,0,54,43,19,2,9,3,12,173,0,2011,2/22/11,Q1.2011,32 52.508,-117 15.374,32.52508,-117.15374,CA,1.2011,0,14.44,15.19,15.19,19.94,20.06,-0.38,-0.21,-0.21,0.29,0.59,23,59,59,178,188,9,59,59,108,356
5079918,N,2,13590101,1/10/14,47,50,27,14,3,12,3,1,173,2,2014,1/10/14,Q1.2014,49 33.80,-123 46.45,49.33800,-123.46450,BC,1.2014,2,6.80,9.32,11.56,20.63,20.63,-0.09,0.60,0.86,4.38,4.38,22,55,87,153,153,7,55,74,169,169
5033422,N,3,26140004,5/2/10,0,48,68,12,1,7,3,11,173,3,2010,5/2/10,Q2.2010,47 27.13,-122 22.78,47.27130,-122.22780,WA,1.201,11,9.38,9.38,9.38,10.77,14.58,0.82,0.82,0.95,0.95,2.19,2,2,2,175,284,16,16,75,75,322
5089261,E,3,22140008,9/24/14,0,50,51,9,2,8,2,12,173,1,2014,9/24/14,Q3.2014,48 30.387,-122 59.458,48.30387,-122.59458,WA,2.2014,1,13.65,14.21,14.39,14.39,14.39,NaN,NaN,NaN,NaN,NaN,17,48,70,70,70,29,59,89,179,359
5073280,E,3,13410402,7/14/13,0,52,46,9,2,10,2,2,173,3,2013,7/14/13,Q3.2013,48 54.915,-123 37.692,48.54915,-123.37692,BC,2.2013,11,14.19,14.19,14.19,14.19,15.14,1.32,1.32,1.32,1.32,2.07,4,4,4,4,331,4,4,4,4,331
5051337,E,3,11490717,9/4/11,48,48,37,12,5,8,2,12,173,2,2011,9/4/11,Q3.2011,50 52.591,-127 39.946,50.52591,-127.39946,BC,2.2011,2,12.87,12.87,12.87,12.87,12.87,0.93,0.93,0.93,0.93,0.97,6,6,6,6,6,6,6,6,6,300
44489,N,3,22140002,5/26/07,0,47,32,10,2,8,1,11,173,2,2007,5/26/07,Q2.2007,48 31.00,-123 09.15,48.31000,-123.09150,WA,1.2007,2,9.66,9.66,9.66,9.66,13.00,-0.26,-0.08,0.14,0.51,1.12,9,9,9,9,265,15,49,80,162,265
5084684,E,3,23304005,3/10/14,46,46,72,13,2,9,3,12,173,3,2014,3/10/14,Q1.2014,47 26.167,-123 07.189,47.26167,-123.07189,WA,1.2014,11,8.00,8.00,8.00,14.86,15.31,0.10,0.10,0.10,2.82,2.82,4,4,4,178,218,4,4,4,178,178
5021174,E,3,22140002,2/18/09,0,57,49,9,2,7,1,2,173,0,2009,2/18/09,Q1.2009,48 31.00,-123 09.15,48.31000,-123.09150,WA,1.2009,0,7.08,7.48,8.95,12.69,12.88,-0.35,-0.12,0.47,1.00,1.00,29,49,85,160,184,29,30,77,160,160
5065550,E,3,23304001,11/18/12,0,0,36,11,3,5,2,12,173,3,2012,11/18/12,Q4.2012,47 26.78,-123 06.80,47.26780,-123.06800,WA,2.2012,11,10.44,12.31,15.01,15.76,15.76,0.04,0.65,2.23,2.88,2.88,29,59,89,93,93,11,51,89,92,92
5087738,E,3,27030110,8/5/14,0,46,62,10,3,7,2,2,173,3,2014,8/5/14,Q3.2014,48 23.50,-124 43.75,48.23500,-124.43750,WA,2.2014,11,12.60,12.60,12.89,12.89,12.94,0.42,0.46,2.42,2.42,2.42,28,28,83,83,334,28,35,83,83,83
5055713,E,3,23304006,2/19/12,53,46,44,13,2,7,3,12,173,3,2012,2/19/12,Q1.2012,47 26.057,-123 07.184,47.26057,-123.07184,WA,1.2012,11,7.28,7.71,9.05,14.65,14.65,-0.56,-0.56,-0.40,2.03,2.03,25,52,86,177,177,25,25,80,177,177
5123931,E,3,24020013,3/25/17,46,46,51,9,2,5,1,2,173,2,2017,3/25/17,Q1.2017,48 09.761,-122 40.962,48.09761,-122.40962,WA,1.2017,2,8.24,8.24,8.80,13.19,16.45,0.17,0.59,1.09,2.34,4.51,2,2,87,179,210,2,43,64,136,315
5063424,E,3,13220005,9/27/12,0,51,60,20,2,7,1,2,173,2,2012,9/27/12,Q3.2012,49 28.699,-124 43.713,49.28699,-124.43713,BC,2.2012,2,16.54,20.10,20.18,20.18,20.18,1.60,3.94,4.38,4.38,4.38,18,40,77,77,77,18,40,77,77,77
5040787,N,3,26210004,3/13/07,0,43,65,7,2,8,2,12,173,2,2007,3/13/07,Q1.2007,47 14.57,-122 33.80,47.14570,-122.33800,WA,1.2007,2,7.99,7.99,9.03,13.37,14.16,0.32,0.32,0.33,1.32,1.63,17,17,88,167,219,17,17,88,167,261
5034226,N,3,22140005,5/31/10,62,48,32,15,2,8,2,12,173,2,2010,5/31/10,Q2.2010,48 32.15,-122 58.30,48.32150,-122.58300,WA,1.201,2,10.83,10.83,10.83,10.83,13.73,NaN,NaN,NaN,NaN,NaN,12,12,12,12,260,29,59,89,179,359
5079469,E,3,22120010,12/24/13,0,44,47,11,2,6,1,2,173,2,2013,12/24/13,Q4.2013,48 31.259,-122 55.568,48.31259,-122.55568,WA,2.2013,2,8.45,10.37,11.47,13.91,13.91,NaN,NaN,NaN,NaN,NaN,24,57,88,101,101,29,59,89,179,359
5102555,E,3,27030115,8/21/15,46,46,61,10,2,9,2,2,173,0,2015,8/21/15,Q3.2015,48 23.381,-124 42.788,48.23381,-124.42788,WA,2.2015,0,13.86,13.86,13.86,13.86,13.86,1.45,1.45,1.45,1.98,3.48,21,21,21,21,21,21,21,21,147,293
5121774,E,3,26110023,12/31/16,50,52,69,13,2,8,3,2,173,0,2016,12/31/16,Q4.2016,47 34.080,-122 31.120,47.34080,-122.31120,WA,2.2016,0,11.16,12.24,12.88,15.91,15.91,1.89,2.06,2.06,3.02,3.84,28,54,82,164,164,28,37,37,164,253
